State,Jonger dan 20 jaar,20 tot 25 jaar,25 tot 30 jaar,30 tot 35 jaar,35 tot 40 jaar,40-45 jaar,45 jaar of ouder
1990,3258,25988,76315,68923,20438,2778,265
1991,3072,25007,73994,70969,22329,3045,249
1992,2692,23442,70031,73197,23854,3273,245
1993,2461,21776,67439,75094,25280,3474,224
1994,2288,20548,65633,76774,26532,3621,215
1995,1904,18366,62700,76235,27502,3644,162
1996,1857,16760,61129,77057,28740,3796,182
1997,1979,16556,60515,78845,30256,4125,167
1998,2038,16330,61191,82702,32531,4451,165
1999,2323,16246,58920,83718,34243,4808,187
2000,2503,17456,57358,87117,36750,5249,186
2001,2686,17471,53838,85616,37345,5451,196
2002,2649,17667,51907,86077,37859,5701,223
2003,2484,17560,51155,83595,39429,5836,238
2004,2182,17383,49344,79001,39655,6225,217
2005,2010,16693,48852,73845,39967,6308,235
2006,1859,16344,49342,70987,39951,6328,246
2007,1858,16384,48863,67787,39668,6522,254
2008,1905,16336,50710,69132,39455,6817,279
2009,1953,16499,51459,68828,38637,7252,287
2010,1884,16417,51570,69420,37213,7565,328
2011,1717,15782,50295,69174,35340,7393,359
2012,1592,15206,50371,67489,33725,7212,364
2013,1360,14581,49342,65925,32939,6836,358
2014,1276,14213,50307,68120,33797,7046,422
2015,1109,13125,48724,66373,34070,6733,376
2016,1076,12580,48557,67760,35205,6922,420


